model,accuracy,precision,recall,f1_score,roc_auc,training_time_sec,inference_time_sec,raw_rows,raw_columns,cleaned_rows,cleaned_columns,missing_values_removed_or_imputed,duplicates_removed,features_engineered,final_samples,timestamp
Logistic Regression,0.9963855421686748,0.9963031423290204,0.992633517495396,0.9944649446494463,0.9999472409489376,0.2942488193511963,0.0012779235839843,10124,5,32217,24,True,-22093,12,8299,2026-07-05T00:11:27.468723
Decision Tree,1.0,1.0,1.0,1.0,1.0,0.0055043697357177,0.0010805130004882,10124,5,32217,24,True,-22093,12,8299,2026-07-05T00:11:27.482644
Random Forest,1.0,1.0,1.0,1.0,1.0,0.1357581615447998,0.0565776824951171,10124,5,32217,24,True,-22093,12,8299,2026-07-05T00:11:27.683479
XGBoost,1.0,1.0,1.0,1.0,1.0,0.1461181640625,0.0046923160552978,10124,5,32217,24,True,-22093,12,8299,2026-07-05T00:11:27.845509
LightGBM,1.0,1.0,1.0,1.0,1.0,1.432187557220459,0.0033702850341796875,10124,5,32217,24,True,-22093,12,8299,2026-07-05T00:11:29.292445
